Pocz_lp,Y,X1_Z2,X4_Z1,Ranga(X5),X6_Z2,X6_Z3,X6_Z5,X9,X10_Z2,X10_Z3,Ranga(X11),X12_Z1,Ranga(X12),X14_Z2,Ranga(X14),X15_Z1,X15_Z3,X18,X24
5,0,0,0,1619.5,0,0,0,13394.7,0,1,329.5,0,994.5,0,2086.5,0,0,0,1
9,0,1,0,883.5,0,1,0,56281.97,0,0,1521.5,0,1926.5,0,284.5,0,0,1,1
10,0,0,1,1619.5,0,0,0,11630.41,0,0,966.5,0,1926.5,0,284.5,0,0,1,1
12,0,0,0,2119.5,0,1,0,40755.55,0,0,329.5,0,994.5,0,284.5,0,0,1,1
13,0,1,0,2119.5,0,1,0,70894.94,1,0,329.5,0,1926.5,0,284.5,1,0,0,1
14,0,0,0,1619.5,0,0,0,32775.2,0,0,1521.5,1,268.5,0,2086.5,0,0,0,1
15,0,0,1,1619.5,0,0,0,41792.01,0,1,966.5,0,994.5,1,1170.5,1,0,0,1
17,0,0,1,189.5,0,0,1,16230.53,0,0,329.5,0,994.5,1,1170.5,1,0,0,1
20,0,0,0,2119.5,0,0,0,3199.82,0,1,329.5,0,1926.5,1,1170.5,0,1,1,1
23,0,0,1,2119.5,0,0,0,44163.19,0,0,966.5,0,994.5,0,2086.5,0,0,0,1
25,0,0,0,1619.5,1,0,0,83029.57,1,0,1521.5,0,1926.5,0,284.5,1,0,1,1
28,0,0,1,2119.5,0,0,0,27866.27,0,0,1521.5,1,268.5,0,284.5,1,0,0,1
29,0,0,0,189.5,0,0,1,43476.52,1,0,1521.5,0,1926.5,1,1170.5,0,0,1,1
30,0,0,0,883.5,0,0,0,23022.85,0,0,329.5,0,1926.5,0,284.5,1,0,1,1
33,0,0,0,2119.5,0,0,0,50955.42,1,0,2084.5,1,268.5,0,2086.5,0,0,0,1
34,0,0,1,2119.5,1,0,0,77434.26,0,0,329.5,1,268.5,1,1170.5,0,0,1,1
35,0,1,1,189.5,0,0,1,18657.37,1,0,329.5,0,1926.5,0,2086.5,1,0,1,1
40,0,0,1,883.5,1,0,0,24628.44,0,0,329.5,1,268.5,1,1170.5,0,0,0,1
43,0,1,1,2119.5,0,0,0,44276.91,0,0,2084.5,0,1926.5,1,1170.5,1,0,1,1
46,0,1,0,2119.5,1,0,0,-10689.8,0,0,329.5,0,1926.5,0,284.5,0,0,0,1
49,0,0,0,1619.5,0,1,0,28635.02,0,0,1521.5,0,1926.5,1,1170.5,0,0,1,1
51,0,0,0,883.5,0,0,0,62940.65,0,0,966.5,0,1926.5,0,2086.5,0,0,1,1
55,0,0,0,883.5,0,1,0,9389.63,0,0,966.5,0,1926.5,0,284.5,1,0,1,1
57,0,0,0,189.5,0,0,1,54619.25,0,0,966.5,0,994.5,0,2086.5,1,0,1,1
59,0,0,0,2119.5,0,0,1,30979.31,0,0,329.5,0,1926.5,0,284.5,1,0,1,2
60,0,1,0,2119.5,0,0,0,35825.56,0,0,966.5,0,1926.5,0,2086.5,0,0,1,1
64,0,0,0,2119.5,0,0,0,39944.2,0,0,329.5,0,994.5,0,2086.5,0,0,1,1
66,0,0,0,2119.5,1,0,0,22795.49,0,0,1521.5,0,1926.5,0,2086.5,0,1,1,1
68,0,0,0,1619.5,0,0,0,31750.69,1,0,329.5,0,994.5,0,284.5,0,0,1,1
69,0,0,0,2119.5,0,0,0,39991.22,0,0,966.5,0,1926.5,0,2086.5,0,0,0,1
73,0,0,0,189.5,0,0,1,51550.9,0,0,966.5,0,1926.5,1,1170.5,0,0,1,1
74,0,0,0,2119.5,0,0,0,95110.8,0,0,329.5,0,1926.5,0,2086.5,0,0,0,1
